source,relationship,target
PandorahVNC RAT,define,C2 server address
PandorahVNC RAT,define,TCP port
PandorahVNC RAT,define,Group id
Fileless Malware 3,inject,aspnet_compiler.exe
BitRAT,inject,aspnet_compiler.exe
APRL27.htm,command,ddond.com
mainpw.dll,split into,three parts for three fileless malware
malware,contact,C2 server
malware,contact,C2 Servers
Excel macro,contact,joexpediagroup[.]com
Joexpediagroup[.]com,resolves to,127[.]0[.]0[.]1
Joexpediagroup[.]com,recorded by,VirusTotal
rootkits,signed with,certificates
gnisoft[.]com,attributed to,Winnti
third-party payment processors,include,Venmo
third-party payment processors,include,Zelle
scammer,use,Bitcoin Variation
Blaster,perform,SYN flood attack
Blaster,direct to,windowsupdate.com
windowsupdate.com,nonessential,windowsupdate.microsoft.com
Mirai,involved in,attacks against Brian Krebs’s website
194[.]99[.]46[.]38,corresponds to,slot0.warongsoto.com
VESTA,affected by,CVE-2020-10786
VESTA,affected by,CVE-2020-10787
C2 server,impersonate,taboola[.]com
JARM,developed by,Salesforce
C2 servers,associated with,BazarLoader
iispool.aspx,attribute,Moses Staff group
Moses Staff group,use,iispool.aspx
STRRAT,use,198[.]27.77.242
STRRAT,part of,jbfrost[.]live
C&C server,domain,life.zerobytes[.]cc
w3wp.exe,process,Microsoft Exchange's Outlook Web Application
w3wp.exe,inject thread into,vbc.exe
web shells,connect to,domain controllers
web shells,use,Thor.dll
Thor.dll,authenticate to,Domain
Thor.dll,modify,security permissions
Thor.dll,create,domain accounts
Thor.dll,add accounts to,Exchange roles
loader DLLs,responsible for,web shell HTTP session
web shell HTTP session,interacted with,GetEcpWebConfigModule.dll
GetEcpWebConfigModule.dll,gets,Exchange server
affiliates,conduct,attacks
organization,developed,malware
affiliates,pay,ransomware authors
Group-IB,estimate,ransomware attacks
Group-IB,estimate,netted attackers
Group-IB,source,https://www.group-ib.com/media/ransomware-empire-2021/
Conti ransomware group,use,CobaltStrike
Bing search engine,leads to,WinSCP application
WinSCP application,leads to,winsccp[.]com
winsccp[.]com,redirects to,infected WordPress webpage
malicious actor,changed URL to,4shared
malicious actor,uses,infected WordPress webpage
malicious actor,uses,bot core
malicious actor,drops,payload
Void Rabisu,use,Google Ads
dirwinstat.com,seen in,RomCom
devolrdm.com,seen in,RomCom
kagomadb[.]com,used for,Qakbot
kagomadb[.]com,used for,Gozi
RomCom 3.0,used in,AstraChat campaign
RomCom 3.0,signed by,Noray Consulting Ltd.
Noray Consulting Ltd.,website,noray[.]ca
diagnostics.zip,compressed into,file
C&C server,IP,179[.]43[.]155[.]202
C&C server,domain,work[.]letmaker[.]top
C&C server,domain,su-94[.]letmaker[.]top
Midjourney-x64.msix,execute,malicious PowerShell
Midjourney-x64.msix,execute,frank_obfus.ps1
multimedia editors,used by,malicious actors
video format converters,used by,malicious actors
cryptocurrency coinminer apps,used by,malicious actors
phone-related desktop apps,used by,malicious actors
system cleaner apps,used by,malicious actors
gup.exe,carrier of,malware
Notepad++,used by,gup.exe
firefox.exe,carrier of,malware
Tor,used by,firefox.exe
ErrorReportClient.exe,carrier of,malware
Magix,used by,ErrorReportClient.exe
MacStealer,steal,cryptocurrency wallets
USB Driver.exe,copy,autorun.inf
USB Driver.exe,sideload,ACNSHELL malware
ACNSHELL malware,create,reverse shell
reverse shell,connect to,closed[.]theworkpc[.]com
Earth Kitsune,attribution,WhiskerSpy
WhiskerSpy,C&C domain,updategoogle[.]servehttp[.]com
WhiskerSpy,delivery server domain,microsoftwindow[.]sytes[.]net
Facebook accounts,advertise,scam messages
scam messages,cite,download.tw1988[.]link
TgToxic,behind,sextortion and cryptocurrency scams
TgToxic,download from,down[.]tw1988[.]link
down[.]tw1988[.]link,C&C,api[.]tw1988[.]link
api[.]tw1988[.]link,C&C,test[.]ja7[.]site
test[.]ja7[.]site,C&C,us[.]ja7[.]site
obfuscated PowerShell script,drop,VBS script
obfuscated PowerShell script,drop,PowerShell script
obfuscated PowerShell script,drop,Windows batch script
VBS script,execute,rYFFCeKHlIT.bat
rYFFCeKHlIT.bat,execute,KxFXQGVBtb.ps1
KxFXQGVBtb.ps1,inject,NjRAT
logmeinofferblackfriday[.]com,used in,Batloader
anydeskofferblackfriday[.]com,used in,Batloader
zoomofferblackfriday[.]com,used in,Batloader
slackcloudservices[.]com,used in,Batloader
Batloader,use,PyArmor
Python script,protected with,PyArmor
Water Minyades,deploy,Batloader
Batloader,deploy,Royal ransomware
Batloader,use,installationupgrade6[.]com
C&C server,trace to,static-files[.]livelyhellp[.]chat:888
log.bsh,link to,LiveHelp100 campaign
trojanized LiveHelp100 application,instructed to download and execute,s[.]livelyhellp[.]chat
s[.]livelyhellp[.]chat,seen in,trojanized LiveHelp100 application
s[.]livelyhellp[.]chat,seen in,executable backdoor
executable backdoor,starts with,rcmdhelper.exe
executable backdoor,contains,kdump64.dll
executable backdoor,contains,html.xml
kdump64.dll,decryptor and loader,executable backdoor
html.xml,payload,executable backdoor
attacker,gained access to,domain controller
attacker,deleted,scripts folder
Redis server,adds cron jobs,shell scripts
masscan,scans for,Redis server
pnscan,scans for,Redis server
TeamTNT,use,oracle[.]zzhreceive[.]top
oracle[.]zzhreceive[.]top,linked with,WatchDog
QAKBOT,drop,Brute Ratel
QAKBOT,inject,wermgr.exe
wermgr.exe,invoke,rundll32.exe
Brute Ratel,check-in,symantecuptimehost[.]com
symantecuptimehost[.]com,seen in,QAKBOT
QAKBOT,process injection,T1482
QAKBOT,evasion,T1482
QAKBOT,obfuscate files,T1482
QAKBOT,execute DLLs,T1482
Cobalt Strike,load DLLs,rundll32.exe
QAKBOT,deobfuscate files,T1482
Black Basta,impair defenses,T1482
QAKBOT,discover windows,T1482
QAKBOT,discover domain trust,T1482
customer support application,compromise,scammers
Cobalt Strike loader,associated with,threat campaign
apo.js,load,app[.]meiqiacontents[.]com
apo.js,send,app[.]meiqiacontents[.]com
apo.js,send,app[.]meiqiacontents[.]com
Water Labbu,register,meiqla.com
meiqla.com,typosquatting,meiqia.com
information-recording PHP script,redirect,meiqia.com
script element,load,script from tmpmeta[.]com
web3.js library,loaded by,Water Labbu
Water Labbu,interact with,Tether USD smart contract
tmpmeta[.]com,load,script
tmpmeta[.]com,load,script
tmpmeta[.]com,load,script
r8s[.]cc,return,latest stage script
BianLian,use,Impacket tool
Impacket tool,name,secretsdump.py
BianLian,move laterally to,domain controller
BianLian group actors,use,Command Shell
BianLian group actors,use,Windows PowerShell
BianLian group actors,modify,Remote Desktop Users group
exp.exe,connect to,domain controller
TA2,exploit,CVE-2019-18935
reverse shell utilities,communicate with,C2 IP addresses
C2 IP addresses,associated with,xework[.]com
C2 IP addresses,associated with,xegroups[.]com
C2 IP addresses,associated with,hivnd[.]com
certutil[.]exe,write,xesvrs[.]exe
xesvrs[.]exe,invoke,reverse shell utilities
XEReverseShell.exe,connect to,xework[.]com
XEReverseShell.exe,connect to,xegroups[.]com
XEReverseShell.exe,drop,sortcombat.exe
Multi-OS_ReverseShell.exe,decode from,xesmartshell.tmp
Multi-OS_ReverseShell.exe,dropped from,XEReverseShell.exe
XEReverseShell.exe,receives from,xework[.]com
TA2 malware,establish,C2 server
actors,download,PsExec
actors,download,Mimikatz
actors,download,Ngrok
Mimikatz,execute on,VDI-KMS
actors,disable,Windows Defender
actors,implant,Ngrok
web application firewalls,mitigate,application-level DDoS attacks
VPN server,tool,domain controllers
domain controllers,tool,AD database ntds.dit
administrative portal,tool,enterprise application
enterprise application,tool,SharePoint pages
enterprise application,tool,tenant user profiles
enterprise application,tool,email inboxes
Tor-based tips line,located on,Dark Web
StopRansomware.gov,provide resources,ransomware
IC3.gov,report,Ransomware
spearphishing and intrusion campaign,related to,fpso.bigish[.]net
spearphishing and intrusion campaign,related to,spoolsvd.exe
spearphishing and intrusion campaign,related to,5e6a033fa01739d9b517a468bd812162
spearphishing and intrusion campaign,related to,AdobeUpdater.exe
spearphishing and intrusion campaign,related to,e62afe2273986240746203f9d55496db
spearphishing and intrusion campaign,related to,ins.exe
spearphishing and intrusion campaign,related to,ed92d1242c0017668b93a72865b0876b
spearphishing and intrusion campaign,related to,px.exe
spearphishing and intrusion campaign,related to,6818a9aef22c0c2084293c82935e84fe
spearphishing and intrusion campaign,related to,gh.exe
spearphishing and intrusion campaign,related to,fcbbfadc992e265c351e54598a6f6dfb
spearphishing and intrusion campaign,related to,fslist.exe
spearphishing and intrusion campaign,related to,05476307f4beb3c0d9099270c504f055
spearphishing and intrusion campaign,related to,u.exe
spearphishing and intrusion campaign,related to,54db65a27472c9f3126df5bf91a773ea
spearphishing and intrusion campaign,related to,slm.exe
spearphishing and intrusion campaign,related to,a46a7045c0a3350c5a4c919fff2831a0
spearphishing and intrusion campaign,related to,niu.exe
spearphishing and intrusion campaign,related to,60456fe206a87f5422b214369af4260e
spearphishing and intrusion campaign,related to,ccApp1.exe
spearphishing and intrusion campaign,related to,d6eaadcbcf9ea9192db1bd5bb7462bf8
spearphishing and intrusion campaign,related to,52294de74a80beb1e579e5bca7c7248a
spearphishing and intrusion campaign,related to,moonclient2.exe
Chinese state-sponsored cyber actors,conduct,spearphishing campaigns
Chinese state-sponsored cyber actors,import,GitHub
Chinese state-sponsored cyber actors,import,infected domains
Chinese state-sponsored cyber actors,communicate with,VPS infrastructure
Cobalt Strike,complement,TA0011
Cobalt Strike Beacon,call back to,attacker-controlled infrastructure
SVR cyber operators,use,Mimikatz
SVR cyber operators,use,Cobalt Strike
TrickBot,contain,example.com
e9600404ecc42cf86d38deedef94068db39b7a0fd06b3b8fb2d8a3c7002b650e,detect,TrickBot
Celas LLC,use,Phishing: Spearphishing Link
Phishing: Spearphishing Link,domain,celasllc[.]com
celasllc[.]com,IP,45.199.63[.]220
celasllc[.]com,IP,107.187.66[.]103
celasllc[.]com,IP,145.249.106[.]19
celasllc[.]com,IP,175.29.32[.]160
celasllc[.]com,IP,185.142.236[.]213
celasllc[.]com,IP,185.181.104[.]82
celasllc[.]com,IP,198.251.83[.]27
celasllc[.]com,IP,208.91.197[.]46
celasllc[.]com,IP,209.99.64[.]18
celasllc[.]com,tool,Sectigo
Sectigo,tool,SSL certificate
Celas Trade Pro Application,tool,Windows Program
Celas Trade Pro,use,MSI Installer
celasllc[.]com,signed by,Sectigo certificate
Sectigo certificate,used for,celasllc[.]com
AppleJeus Version 2,identified as,JMT Trading
JMT Trading,marketed and distributed on,jmttrading[.]org
jmttrading[.]org,resolved to,45.33.2[.]79
jmttrading[.]org,resolved to,45.33.23[.]183
jmttrading[.]org,resolved to,45.56.79[.]23
jmttrading[.]org,resolved to,45.79.19[.]196
jmttrading[.]org,resolved to,96.126.123[.]244
jmttrading[.]org,resolved to,146.112.61[.]107
jmttrading[.]org,resolved to,184.168.221[.]40
jmttrading[.]org,resolved to,184.168.221[.]57
jmttrading[.]org,resolved to,198.187.29[.]20
jmttrading[.]org,resolved to,198.54.117[.]197
jmttrading[.]org,resolved to,198.54.117[.]198
jmttrading[.]org,resolved to,198.54.117[.]199
jmttrading[.]org,resolved to,198.54.117[.]200
jmttrading[.]org,resolved to,198.58.118[.]167
jmttrading[.]org,has,Sectigo SSL certificate
Sectigo SSL certificate,issued by,Let's Encrypt
MSI Installer,installs,JMTTrader.exe
MSI Installer,installs,CrashReporter.exe
Union Crypto,domain,unioncrypto[.]vip
unioncrypto[.]vip,resolved to,104.168.167[.]16
unioncrypto[.]vip,resolved to,198.54.117[.]197
unioncrypto[.]vip,resolved to,198.54.117[.]198
unioncrypto[.]vip,resolved to,198.54.117[.]199
unioncrypto[.]vip,resolved to,198.54.117[.]200
unioncrypto[.]vip,recorded on,https://www.unioncrypto[.]vip/download/W6c2dq8By7luMhCmya2v97YeN
unioncrypto[.]vip,had,Sectigo SSL certificate
unioncrypto[.]vip,seen in,Windows Program
Windows Program,extracts,UnionCryptoTrader.msi
Windows Program,runs,UnionCryptoUpdater.msi
Windows Program,installs,UnionCryptoUpdater.exe
Windows Program,deletes,UnionCryptoUpdater.msi
Windows Program,runs,UnionCryptoUpdater.exe
AppleJeus,marketed and distributed by,Kupay Wallet
Kupay Wallet,domain,kupaywallet[.]com
kupaywallet[.]com,resolved to,104.200.67[.]96
kupaywallet[.]com,had,Sectigo SSL certificate
AppleJeus Version 5,marketed and distributed by,CoinGoTrade
CoinGoTrade,domain,coingotrade[.]com
coingotrade[.]com,resolved to,198.54.114[.]175
198.54.114[.]175,controlled by,NameCheap Inc.
coingotrade[.]com,same ASN,Dorusio[.]com
coingotrade[.]com,same ASN,Ants2Whale[.]com
coingotrade[.]com,had,SSL certificate
AppleJeus,distributed by,Dorusio
Dorusio,website,dorusio[.]com
dorusio[.]com,Acquire Infrastructure,T1587.001
Dorusio,malware,AppleJeus
Dorusio,develop capabilities,T1587.001
dorusio[.]com,resolve to,198.54.115[.]51
198.54.115[.]51,controlled by,NameCheap Inc.
198.54.115[.]51,same ASN,CoinGoTrade[.]com
198.54.115[.]51,same ASN,Ants2Whale[.]com
Dorusio Application Analysis Windows Program,installs,Dorusio.exe
Dorusio Application Analysis Windows Program,installs,DorusioUpgrade.exe
Dorusio.exe,runs,DorusioUpgrade.exe
AppleJeus,identified as,Ants2Whale
Ants2Whale,site,ants2whale[.]com
ants2whale[.]com,resolved to,198.54.114[.]237
198.54.114[.]237,in same ASN as,CoinGoTrade[.]com
198.54.114[.]237,in same ASN as,Dorusio[.]com
ants2whale[.]com,had,Sectigo SSL certificate
Ants2Whale Application Analysis Windows Program,similar to,macOS X Program
macOS X Program,tool,DMG Installer
DMG Installer,install,Ants2Whale
DMG Installer,install,Ants2WhaleHelper
DMG Installer,execute,postinstall script
postinstall script,move,com.Ants2whale.pkg.wallet.plist
postinstall script,run,Ants2WhaleHelper
Sparrow,output,AppUpdate_Operations_Export.csv
Sparrow,output,AppRoleAssignment_Operations_Export.csv
Sparrow,output,Consent_Operations_Export.csv
Sparrow,output,Domain_List.csv
Sparrow,output,Domain_Operations_Export.csv
Sparrow,output,FileItems_Operations_Export.csv
Sparrow,output,MailItems_Operations_Export.csv
Sparrow,output,PSLogin_Operations_Export.csv
Sparrow,output,PSMailbox_Operations_Export.csv
Sparrow,output,SAMLToken_Operations_Export.csv
Sparrow,output,ServicePrincipal_Operations_Export.csv
Sparrow PowerShell script,output,AppUpdate_Operations_Export.csv
Sparrow PowerShell script,output,AppRoleAssignment_Operations_Export.csv
Sparrow PowerShell script,output,Consent_Operations_Export.csv
Sparrow PowerShell script,output,Domain_List.csv
Sparrow PowerShell script,output,Domain_Operations_Export.csv
Sparrow PowerShell script,output,FileItems_Operations_Export.csv
Sparrow PowerShell script,output,MailItems_Operations_Export.csv
Sparrow PowerShell script,output,PSLogin_Operations_Export.csv
Sparrow PowerShell script,output,PSMailbox_Operations_Export.csv
Sparrow PowerShell script,output,SAMLToken_Operations_Export.csv
Sparrow PowerShell script,output,ServicePrincipal_Operations_Export.csv
aviary.xml,contents,dashboard
avsvmcloud[.]com,resolves to,20.140.0[.]1
malicious binary code,beaconing to,avsvmcloud[.]com
cyber threat actors,use,C2 infrastructure
Chinese MSS-affiliated actors,use,T1349
Chinese MSS-affiliated actors,observe,T1349
Chinese MSS-affiliated actors,observe,T1349
Chinese MSS-affiliated actors,observe,T1349
Chinese MSS-affiliated actors,observe,T1349
Chinese MSS-affiliated actors,observe,T1349
attacker,gained access to,Domain Controller
ankarex[.]net,accessible at,Ankarex
Meduza Stealer,offered for sale on,Exploit.in
Vidar,use,my-odin[.]com
my-odin[.]com,host,186.2.166[.]15
my-odin[.]com,host,5.252.179[.]201
my-odin[.]com,host,5.252.176[.]49
VPN servers,access,5.252.176[.]49
Vidar,use,VPN infrastructure
5.252.176[.]49,connect to,blonk[.]co
5.252.176[.]49,connect to,185.173.93[.]98:443
Vidar,use,TOR relays
TOR relays,access,accounts and malware repositories
actor-controlled server,tool,ngrok
Kimsuky,linked to,social engineering campaign
Kimsuky,deliver,reconnaissance malware
Kimsuky,objective extends to,theft of subscription credentials from NK News
Dark Pink,use,Telegram
Dark Pink,exfiltrating data,webhook[.]site
Dark Pink,use,Microsoft Excel add-in
Microsoft Excel add-in,ensure persistence,TelePowerBot
Booking.com,sister site,Kayak.com
ClearSky,use,jquery-stack[.]online
cryptocurrency miner,downloaded from,C2 servers
C2 servers,IP,179.43.155[.]202
C2 servers,Domain,work.letmaker[.]top
C2 servers,Domain,su-94.letmaker[.]top
recent attacks,misuse,lwp-download
U.S. Federal Bureau of Investigation,seized,nine virtual currency exchanges
National Police of Ukraine,seized,nine virtual currency exchanges
governments in Europe,target,infrastructure
U.S.,target,infrastructure
malicious actors,use,infrastructure
PingPull,upload to,VirusTotal
PingPull,communicate with,yrhsywu2009.zapto[.]org
PingPull,use,OpenSSL 0.9.8e
PingPull,mirror,China Chopper
ESET,discover,campaign
campaign,use,MgBot backdoor
MgBot backdoor,name,MgBot backdoor
adversary-in-the-middle (AitM) attack,involve,LuoYu
windowservicecemter[.]com,host,tools
windowservicecemter[.]com,host,TrueBot
TrueBot,attributed to,Silence
Silence,historical links with,Evil Corp
Evil Corp,historical links with,TA505
TA505,facilitated the distribution of,Cl0p ransomware
TAXHAUL launcher,deploy,COLDCAT downloader
UNC4736,suspected to be,Lazarus Group
UNC4736,use,journalide[.]org
AppleJeus,use,POOLRAT
POOLRAT,part of,long-running campaign
Russia's military intelligence service,linked to,FROZENLAKE
FROZENLAKE,linked to,APT28
APT28,also tracked as,Fancy Bear
APT28,also tracked as,Forest Blizzard
APT28,also tracked as,Iron Twilight
APT28,also tracked as,Sednit
APT28,also tracked as,Sofacy
Cuba ransomware,deploy,RomCom RAT
Russia,originate,phishing campaigns
ELF malware sample,retrieve,Poseidon payload
wirexpro[.]com,C2 overlap,AppleJeus
Gopuram,use,ICONIC Stealer
libffmpeg.dylib,reach out to,pbxsources[.]com
pompompurin,funded,Bitcoin address
chat.openai[.]com,cache,Cloudflare's CDN
ScarCruft,maintain,GitHub repository
ScarCruft,serve,credential phishing webpages
credential phishing webpages,target,Mail.ru
credential phishing webpages,target,163.com
ScarCruft,embed,credential phishing webpages
ScarCruft,send,credential phishing webpages
AblyGo,utilize,Ably real-time messaging framework
MacStealer,connect to,worldofcreatures[.]io
VBS script,runs,agent
agent,delivers,second stage payload
second stage payload,retrieves,malicious PowerShell script
malicious PowerShell script,delivered by,gpla[.]gov[.]ly
e62afe2273986240746203f9d55496db,associated with,inn.exe
5e6a033fa01739d9b517a468bd812162,associated with,kkk.exe
4a8854363044e4d66bf34a0cd331d93d,associated with,inn.exe
124ad1778c65a83208dbefcec7706dc6,associated with,AcroRD32.exe
17199ddac616938f383a0339f416c890,associated with,iass.dll
7caf4dbf53ff1dcd5bd5be92462b2995,associated with,iTunesHelper.exe
tool,used by,SolarWinds Orion
solarwinds.orion.core.businesslayer.dll,signed by,SolarWinds code signing certificate
zipsearch[.]xyz,seen in,Chromnius
search[.]onlinegamezone[.]club,seen in,Chromnius
PowerShell script file,include,cloudflare-ipfs[.]com
PowerShell script file,include,crustwebsites[.]net
init.ps1,include,cloudflare-ipfs[.]com
init.ps1,include,crustwebsites[.]net
malware,accesses,Command and Control server
Command and Control server,IP,207[.]32.217.89
www.madafak[DOT]in,pass itself off as,Google Analytics
www.madafak[DOT]in,load,ga.js
ga.js,contain,5bdd3443937ebe08d3e3c99e9524afc13702eba28340
Mp3 Songs Download,redirect,http://mp3song-s[DOT]com
Mining script,domain,Fast-search.tk
Fast-search.tk,seen in,Mining script
Mining script,trigger,GTM-PRFLJPX
Mining script,connect to,http://statdynamic.com/lib/crypta.js
mining script,sent to,mining pool server
proposal_pakistan110.chm:error.html,opened by,archiver tool
proposal_pakistan110.chm:error.html,opened by,Microsoft Edge browser
archiver tool,executed,backdoor
attacker's infrastructure,IP,450ebd66ba67bb46bf18d122823ff07ef4a7b11afe63b6f269aec9236a1790cd
attacker's infrastructure,IP,ee32bde60d1175709fde6869daf9c63cd3227155e37f06d45a27a2f45818a3dc
attacker's infrastructure,IP,071e20a982ea6b8f9d482685010be7aaf036401ea45e2977aca867cedcdb0217
JsuObf.exe,exfiltrate data to,89.34.237.118:2020
Quasar RAT,download,FastUploader
FastUploader,install to,"csidl_profile\appdataoaming\adobetp.exe"
command and control (C&C) server,observed connecting with,174[.]127[.]99[.]211
Command and Control (C2) server,IP,79.137.206[.]228
PowerBots (C) GohacK,C2,49[.]212[.]234[.]206:3303
perlbot,use,flooding attacks
B0tchZ 0.2a,variant of,perlbot
46[.]101[.]183[.]162,seen in,B0tchZ 0.2a
198[.]98[.]61[.]106:8080,C2 server of,B0tchZ 0.2a
AsyncRAT,dumped from,notepad.exe
AsyncRAT,communicates with,95.216.102.32:6606
AsyncRAT,communicates with,95.216.102.32:7707
AsyncRAT,communicates with,95.216.102.32:8808
163[.]123[.]142[.]210,originate from,attack
185[.]17[.]0[.]19,originate from,attack
ScrubCrypt,load,miner
ScrubCrypt,invoke,explorer.exe
ScrubCrypt,communicate with,C2 server
ScrubCrypt,download,plugin_3.dll
ScrubCrypt,download,plugin_4.dll
plugin_3.dll,identical to,plugin_4.dll
C2 servers,distribute,Mirai-based SORA variant
C2 servers,distribute,Zerobot
176[.]65[.]137[.]5,C2 server,Mirai-based SORA variant
176[.]65[.]137[.]5,C2 server,Zerobot
hxxp://176[.]65[.]137[.]5/bins/zero[.]x86,distribute,Zerobot
Zerobot,family,Golang botnets
security plugins,bypass,C2 server
C2 server,IP,89[.]208[.]107[.]12
PHP script,use,C2 server
binary,use,C2 server
PHP/GoTrim!tr.dldr,name,PHP/GoTrim!tr.dldr
Zerobot,check connection,1.1.1.1
Warzone,persistence,C:\Users\Admin\Documents\Adobe5151.exe
Warzone,communication,C2 server
C2 server,address,171.22.30.72:5151
Fortinet,release,IPS signature Adobe.InDesign.CVE-2022-28853.Arbitrary.Code.Execution
Fortinet,release,IPS signature Adobe.InDesign.CVE-2022-28854.Memory.Leak
Adobe InDesign,vulnerability,CVE-2022-28855
Excel,combine,CVE-2017-0199
CVE-2017-0199,exploit,receipt.doc
receipt.doc,download from,192[.]227[.]129[.]26
CVE-2022-34275,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34275.Memory.Corruption
CVE-2022-34276,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34276.Memory.Corruption
CVE-2022-34277,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34277.Memory.Corruption
CVE-2022-34278,IPS signature,Siemens.PADS.Layout.Viewer.CVE-2022-34278.Memory.Corruption
Fortinet,release,IPS signature Autodesk.DWG.TrueView.CVE-2022-27523.Memory.Corruption
Fortinet,release,IPS signature Autodesk.DWG.TrueView.CVE-2022-27524.Memory.Corruption
Autodesk DWG TrueView,vulnerability,IPS signature Autodesk.DWG.TrueView.CVE-2022-27524.Memory.Corruption
IcedID,deployed by,threat actors
Mytob,block,anti-virus software
Mytob,redirect,127.0.0.1
Soul module,resemble,original backdoor
original backdoor,reorganized as,Soul module
C2 server,belongs to,FranTech Solutions
Adobe Photoshop,exploited by,remote attacker
NordVPN,C2 server,207[.]32.217.89
OpenVPN,C2 server,207[.]32.217.89
ProtonVPN,C2 server,207[.]32.217.89
149.154.167.91,communicate with,C2 server
PowerShell,download,Agent Tesla
RegAsm.exe,target process of,malware
Fortinet,released,IPS signature Adobe.Illustrator.CVE-2021-40718.Memory.Leak
CVE-2021-26084,exploited by,crypto miner
crypto miner,download,init.sh
crypto miner,set path for,newinit.sh
crypto miner,get,scanning shell
scanning shell,try to download,scanning tool
shell,get,login brute force tool
shell,spread,miner script
miner script,file,init.sh
Muhstik,exploit,CVE-2021-26084
Corel.Presentations.CVE-2021-38106.Memory.Corruption,exists in,Corel Presentations 2020
Corel.Presentations.CVE-2021-38106.Memory.Corruption,released by,Fortinet
Corel.Presentations.CVE-2021-38102.Memory.Corruption,exists in,Corel Presentations 2020
Corel.Presentations.CVE-2021-38102.Memory.Corruption,released by,Fortinet
Corel.Presentations.CVE-2021-38102.Memory.Corruption,exists in,IPPP82.FLT
Corel.Presentations.CVE-2021-38102.Memory.Corruption,released by,Fortinet
Corel.Presentations.CVE-2021-38110,released by,Fortinet
hxxp://dmequest[.]com/dme/images/portfolio/products/1/csrsc.exe,hosted on,68[.]67.75.66
Buer Loader,incorporate,whoami
whoami,version,whoami-1.1.1
Buer Loader,use,ureq 2.0.2
Buer Loader,use,minreq
Buer Loader,use,Ring
Buer Loader,receive instructions from,hxxps://shipmentofficedepot[.]com
hxxps://shipmentofficedepot[.]com,IP,195[.]123.234.11
freeSSHd,use,plink
http[:]//79[.]137[.]203[.]156/Ebvjmba.dat,IP,79[.]137[.]203[.]156
explorer.exe,launch,svchost.exe
svchost.exe,execute,explorer.exe
explorer.exe,drop and execute,Cobalt Strike beacon
Cobalt Strike beacon,download,195.123.234[.]101/DoFor/review/Mcirosoft
Earth Preta,use,certutil.exe
certutil.exe,download,WinRAR binary
WinRAR binary,download,rar1.exe
Earth Preta,use,PowerShell
PowerShell,download,malware and archives
Earth Preta,leverage,WinRAR binary
WinRAR binary,decompress,malware
Backdoor.Win32.CLEXEC,file name,SensorAware.dll
TaoZongjie,name,TaoZongjie
TONESHELL,obfuscation method,Cobalt Strike
TONESHELL,C&C server,38.54.33.228
38.54.33.228,Windows user,TaoZongjie
Trend Micro Malware Detection Patterns,detect,Trojan.Win32.CVE202323397
Trend Micro Vision One,use,investigation tool
Cloud One Workload Security,use,IPS Rule 1009058
Deep Security,use,IPS Rule 1009058
RedLine Stealer,send to,C&C server
Enigma,use,Telegram
Enigma,use,193[.]56[.]146[.]29
Enigma,communicate with,Amadey
Amadey,C2 panel,193[.]56[.]146[.]29
Amadey,communicate with,95b4de74daadf79f0e0eef7735ce80bc
193[.]56[.]146[.]29,register,Interview conditions.word.exe
malware,send to,C&C server
C&C server,used in,attack chain
C&C server,deliver,Telegram
Cobalt Strike,C&C,193.106.191.187
msdtc.exe,loads,libvlc.dll
msdtc.exe,analyzed by,1768.py
1768.py,created by,Didier Stevens
dllhost.exe,spawned from,VLC Media Player
wabmig.exe,spawned from,VLC Media Player
malicious PowerShell code,serve,tunneling tool
tunneling tool,used for,data exfiltration
Powershell backdoor,download,PowerShell script
Powershell backdoor,related to,SystemBC malware
PowerShell script,connect to,185[.]82[.]219[.]201
TeamTNT,use,ZGrab
ZGrab,deprecated,ZGrab2
API server,deploy,alpine-based container
alpine-based container,execute,malicious shell script
malicious shell script,download from,205[.]185[.]118[.]246
d.sh script,use,ZGrab scanner
d.sh script,use,Docker API
d.sh script,add,cronb.sh
cronb.sh,download from,205[.]185[.]118[.]246
Brute Ratel,drop,Cobalt Strike
Brute Ratel,run,C:\Users\Public\Name-123456.xls
Brute Ratel,drop,C:\Users\Public\abcabc.xls
Brute Ratel,drop,C:\Users\Public\abc-1234.xls
Brute Ratel,drop,C:\Users\Public\Orders_12_34_56.xls
Brute Ratel,drop,C:\Users\Public\MkDir.xls
CVE-2022-3199,delivery method,Truebot
Truebot,load,FlawedGrace
FlawedGrace,used in,Truebot
FlawedGrace,manipulate,T1055.001
FlawedGrace,manipulate,T1055.001
FlawedGrace,store,T1055.001
FlawedGrace,establish,T1055.001
FlawedGrace,establish,msiexec[.]exe
FlawedGrace,establish,svchost[.]exe
FlawedGrace,establish,92.118.36[.]199
APT actors,leverage,VPS
APT actors,use,dp_crypto.py
dp_crypto.py,execute,brute force attack
dp_crypto.py,associated with,20.121.51[.]51
Document Manager,manipulated by,APT actors
APT actors,upload,Done.html
Done.html,confirm successful exploitation,CVE-2017-9248
APT actors,upload,sd.php
APT actors,upload,osker.aspx
osker.aspx,accessed via,207.244.71[.]81
APT actors,create,App_Web_jl37rjxu.dll
APT actors,upload,fassdfsdf.html
APT actors,access,osker.aspx
APT actors,access from,162.210.194[.]10
